,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
0,Emiliano Martínez,7,7,690,0,0,0,0,,,0,0,1,0,120,187,64.2,0,0,0,0,4,0,196,0,0,,0,1,0,0,0,0,0,2,0,GK,29,eng,Aston Villa,Argentina
1,Lionel Messi,7,7,690,7,3,27,13,0.11,0.23,3,4,1,0,300,371,80.9,5,3,2,0,0,0,462,15,34,44.1,10,22,3,20,1,0,0,2,7,FW,34,fr,Paris S-G,Argentina
2,Nicolás Otamendi,7,7,690,0,1,1,0,0,,0,0,2,0,532,577,92.2,10,6,6,9,24,0,641,0,0,,13,5,1,0,0,1,0,21,13,DF,34,pt,Benfica,Argentina
3,Rodrigo De Paul,7,7,599,0,0,7,3,0,0,0,0,0,0,470,562,83.6,11,6,8,7,3,0,626,1,10,10,7,15,0,12,0,0,0,2,3,MF,28,es,Atlético Madrid,Argentina
4,Nahuel Molina,7,6,567,1,1,2,1,0.5,1,1,0,0,0,291,358,81.3,8,4,7,3,11,0,405,1,2,50,3,0,1,6,0,0,0,0,6,DF,24,es,Atlético Madrid,Argentina
5,Alexis Mac Allister,6,6,550,1,1,7,4,0.14,0.25,1,0,0,0,234,265,88.3,9,4,13,3,6,0,332,4,9,44.4,1,13,0,1,0,0,0,5,13,MF,23,eng,Brighton,Argentina
6,Cristian Romero,7,6,547,0,0,0,0,,,0,0,2,0,337,375,89.9,5,3,6,4,26,0,425,1,1,100,12,3,0,0,0,0,0,12,8,DF,24,eng,Tottenham,Argentina
7,Enzo Fernández,7,5,564,1,1,8,3,0.13,0.33,1,0,1,0,412,471,87.5,22,15,7,3,7,0,535,3,6,50,7,6,0,2,0,0,1,9,3,MF,21,pt,Benfica,Argentina
8,Julián Álvarez,7,5,464,4,0,11,8,0.36,0.5,4,0,0,0,93,121,76.9,4,2,8,0,3,0,176,0,4,0,13,2,5,3,1,0,0,2,9,FW,22,eng,Manchester City,Argentina
9,Marcos Acuña,6,4,373,0,0,2,0,0,,0,0,3,0,167,217,77,12,8,8,2,9,0,271,2,8,25,9,9,0,17,1,0,0,5,7,DF,30,es,Sevilla,Argentina
10,Ángel Di María,5,4,288,1,1,6,3,0.17,0.33,1,0,0,0,129,167,77.2,3,1,3,1,0,0,203,13,28,46.4,0,7,5,27,1,0,0,0,1,FW,34,it,Juventus,Argentina
11,Nicolás Tagliafico,6,3,373,0,0,3,1,0,0,0,0,0,0,146,179,81.6,7,7,9,9,9,0,220,0,2,0,6,6,1,1,0,0,0,4,1,DF,29,fr,Lyon,Argentina
12,Lisandro Martínez,5,2,303,0,0,1,0,0,,0,0,1,0,133,156,85.3,6,2,3,3,14,0,188,0,1,0,2,3,0,1,0,0,0,3,3,DF,24,eng,Manchester Utd,Argentina
13,Lautaro Martínez,6,2,241,0,0,14,4,0,0,0,0,0,0,47,63,74.6,0,0,1,1,0,0,99,2,5,40,1,5,5,0,0,0,0,6,6,FW,24,it,Inter,Argentina
14,Leandro Paredes,5,2,225,0,0,1,1,0,0,0,0,2,0,230,246,93.5,10,4,0,3,4,0,270,0,1,0,6,5,0,0,1,0,0,4,0,MF,27,it,Juventus,Argentina
15,Papu Gómez,2,2,107,0,0,2,0,0,,0,0,0,0,53,60,88.3,2,0,1,1,0,0,69,1,2,50,1,5,1,1,0,0,0,1,0,MF,34,es,Sevilla,Argentina
16,Gonzalo Montiel,4,1,118,0,0,1,0,0,,0,0,3,0,69,81,85.2,3,2,1,1,1,0,95,0,1,0,4,2,1,3,0,1,0,1,2,DF,25,es,Sevilla,Argentina
17,Guido Rodríguez,1,1,56,0,0,0,0,,,0,0,0,0,54,64,84.4,2,0,1,0,1,0,68,0,0,,0,0,0,0,0,0,0,1,0,MF,28,es,Betis,Argentina
18,Germán Pezzella,3,0,60,0,0,1,0,0,,0,0,1,0,42,45,93.3,0,0,0,0,0,0,47,0,0,,2,2,0,0,0,0,0,0,6,DF,30,es,Betis,Argentina
19,Exequiel Palacios,3,0,50,0,0,1,0,0,,0,0,0,0,25,28,89.3,0,0,0,2,1,0,34,0,1,0,2,3,0,0,0,0,0,0,1,"MF,DF",23,de,Leverkusen,Argentina
20,Paulo Dybala,2,0,18,0,0,0,0,,,0,0,0,0,8,12,66.7,3,1,0,0,1,0,20,1,2,50,1,0,0,0,0,0,0,3,1,FW,28,it,Roma,Argentina
